head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
1,31,0.026444004542127867,0.023661588203413648,29,attn:31-1,attn,1.0,ceo_lastname
10,31,0.003335351849308206,2.3240118178915116e-06,29,attn:31-10,attn,0.6896551724137931,ceo_lastname
11,31,-0.018306443947808847,-0.019378760265369693,29,attn:31-11,attn,0.034482758620689655,ceo_lastname
12,31,0.0004057037095103003,2.1923546840080804e-09,29,attn:31-12,attn,0.5517241379310345,ceo_lastname
13,31,0.0002902774345333014,2.8665863860859826e-08,29,attn:31-13,attn,0.5862068965517241,ceo_lastname
14,31,-0.001594653660029357,8.748696223375184e-06,29,attn:31-14,attn,0.5517241379310345,ceo_lastname
15,31,0.00022283955433499613,-1.9501183998081615e-08,29,attn:31-15,attn,0.4482758620689655,ceo_lastname
16,31,-5.8615788340140916e-05,1.195080562767723e-09,29,attn:31-16,attn,0.5172413793103449,ceo_lastname
17,31,7.628350247736852e-06,9.47642449986031e-10,29,attn:31-17,attn,0.5172413793103449,ceo_lastname
18,31,-0.0001687202209077105,-4.910880872390654e-07,29,attn:31-18,attn,0.3103448275862069,ceo_lastname
19,31,-9.008714229564999e-05,-8.854710608886052e-06,29,attn:31-19,attn,0.3103448275862069,ceo_lastname
2,31,-0.021062389338852242,-0.018801409482222788,29,attn:31-2,attn,0.0,ceo_lastname
20,31,0.0022456201483374953,0.0009354264441774045,29,attn:31-20,attn,0.7586206896551724,ceo_lastname
21,31,0.002791196837160631,0.0010589656194482213,29,attn:31-21,attn,0.6551724137931034,ceo_lastname
22,31,-0.0004410766616150062,-9.459158948850283e-06,29,attn:31-22,attn,0.41379310344827586,ceo_lastname
23,31,-0.0016690733513525752,-0.0015554536726683928,29,attn:31-23,attn,0.1724137931034483,ceo_lastname
24,31,0.001875446109937536,0.0007530407982929006,29,attn:31-24,attn,0.7586206896551724,ceo_lastname
25,31,-0.0029689570189587915,-0.0009401677741683044,29,attn:31-25,attn,0.20689655172413793,ceo_lastname
26,31,0.002593987603339059,0.000678625343567503,29,attn:31-26,attn,0.6206896551724138,ceo_lastname
27,31,-0.00030788534051669913,-5.515512902027787e-05,29,attn:31-27,attn,0.27586206896551724,ceo_lastname
28,31,0.0014102271662458524,0.0009390309935045722,29,attn:31-28,attn,0.9310344827586207,ceo_lastname
29,31,1.2919503621032933e-05,2.2120082414647714e-07,29,attn:31-29,attn,0.5172413793103449,ceo_lastname
3,31,0.017074407292412868,0.016102427566711854,29,attn:31-3,attn,1.0,ceo_lastname
30,31,0.00021812777620972609,2.920164381339065e-09,29,attn:31-30,attn,0.5517241379310345,ceo_lastname
31,31,8.03486179565121e-05,-3.408986058317299e-06,29,attn:31-31,attn,0.41379310344827586,ceo_lastname
4,31,-0.0004018871469781173,-0.0006999265223786563,29,attn:31-4,attn,0.3448275862068966,ceo_lastname
5,31,-0.0005502321444936594,-0.0005196204859936593,29,attn:31-5,attn,0.4827586206896552,ceo_lastname
6,31,0.0036468990204323606,0.002887607590772622,29,attn:31-6,attn,0.9310344827586207,ceo_lastname
